Master Inventory — Edit Here Only,,,,,,,
All edits happen on this tab. The Price List (EN) and Lista de Precios (ES) tabs update automatically.,,,,,,,
,,,,,,,
Product,Category,Price (USD),Status,Bulk Discount (EN),Bulk Discount (ES),COA URL,Image URL
PT-141 10mg,Sexual Health,$125,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687958189-nltp0f.webp
KissPeptin-10 10mg,Sexual Health,$130,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687973212-125xec.webp
Melanotan II,Tanning & Sexual Function,$90,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780688179602-pipgud.webp
GHK-CU 50mg,Skin & Hair,$70,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://verify.janoshik.com/tests/94974-GHKCU_50mg_KHSEMSR1C4Q7,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780688143160-hezzor.webp
GHK-CU 100mg,Skin & Hair,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780688131651-tou4yl.webp
Thymalin 10mg,Immune & Antioxidant,$120,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780688032667-njuhp.webp
Glutathione 1500mg,Immune & Antioxidant,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780688047084-9r2lrr.webp
BAC Water 2ml,Reconstitution Supply,FREE with any purchase,Out of Stock,,,,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780688067599-dunc9.webp
BAC Water 3ml,Reconstitution Supply,$10,In Stock,,,,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780688086836-6511r8.webp
BAC Water 10ml,Reconstitution Supply,$20,In Stock,,,,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780688097989-5alygj.webp
